Event,CircuitName,Country,TrackType,LapSpeedClass,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackLength_m,NumCorners,CornerDensity,AvgCornerSpacing_m,AirTemp,TrackTemp,WindSpeed,Altitude_m,DRSZones
Las Vegas Grand Prix,Las Vegas,USA,Street,Fast,183.0,210.0,319.0,333.0,6353.0,14.0,0.0022036832992287,453.7857142857143,14.7,16.7,0.8,600.0,2.0
Mexican Grand Prix,Hermanos Rodriguez,Mexico,Permanent,Medium,318.0,298.0,255.0,345.0,4309.0,17.0,0.0039452309120445,253.4705882352941,20.7,37.2,1.1,2240.0,2.0
Mexico City Grand Prix,Hermanos Rodriguez,Mexico,Permanent,Medium,313.0,294.0,252.0,345.0,4309.0,17.0,0.0039452309120445,253.4705882352941,23.799999999999997,45.4,0.9,2240.0,2.0
Miami Grand Prix,Miami,USA,Street,Medium,220.0,191.0,283.0,332.0,5412.0,19.0,0.003510716925351,284.8421052631579,29.1,47.2,2.5,3.0,3.0
Monaco Grand Prix,Monaco,Monaco,Street,Slow,214.0,198.0,270.0,279.0,2982.89347053333,19.0,0.0063696542259026,155.08342582215062,21.5,44.6,0.6,10.0,1.0
Portuguese Grand Prix,Portimao,Portugal,Permanent,Medium,276.0,253.0,272.0,311.0,4653.0,15.0,0.0032237266279819,310.2,20.6,35.7,0.8,90.0,1.0
Qatar Grand Prix,Losail,Qatar,Permanent,Medium,245.0,281.0,282.0,317.0,5380.0,16.0,0.0029739776951672,336.25,25.9,29.0,2.2,20.0,2.0
Russian Grand Prix,Sochi Autodrom,Russia,Permanent,Medium,252.0,297.5,147.0,297.0,5760.2985642132535,18.0,0.0031248380269432,312.85365949038703,14.2,16.7,0.6,5.0,2.0
Sakhir Grand Prix,Bahrain International,Bahrain,Permanent,Medium,288.0,269.0,296.0,323.0,5006.652008539475,15.0,0.0029960140977275,305.8343408970475,24.0,26.9,0.5,35.0,2.0
Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,Street,Fast,287.0,316.0,303.0,321.0,6174.0,27.0,0.0043731778425655,228.66666666666663,26.8,30.9,1.3,15.0,3.0
Singapore Grand Prix,Marina Bay,Singapore,Street,Slow,308.0,277.0,255.0,299.0,4956.5492831458605,23.0,0.0046403250903221,206.4655635414754,29.4,32.3,1.3,10.0,1.0
Spanish Grand Prix,Barcelona-Catalunya,Spain,Permanent,Medium,287.0,301.0,286.0,320.0,4348.990357163425,16.0,0.003679014825509,234.62367931817408,24.1,36.9,1.9,110.0,1.0
Styrian Grand Prix,Red Bull Ring,Austria,Permanent,Fast,288.0,209.0,263.0,289.0,3999.68196710701,10.0,0.0025001987863632,391.8909347110944,15.1,19.9,1.6,700.0,2.0
São Paulo Grand Prix,Interlagos,Brazil,Permanent,Medium,302.0,237.0,306.5,297.0,4309.0,15.0,0.0034810860988628,287.26666666666665,19.2,27.0,0.7,800.0,2.0
Turkish Grand Prix,Istanbul Park,Turkey,Permanent,Fast,276.0,253.0,272.0,311.0,5338.0,14.0,0.0026227051330086,381.2857142857143,18.3,21.5,0.6,130.0,1.0
Tuscan Grand Prix,Mugello,Italy,Permanent,Fast,276.0,253.0,272.0,311.0,5245.0,15.0,0.0028598665395614,349.6666666666667,29.4,44.9,2.5,255.0,1.0
United States Grand Prix,COTA,USA,Permanent,Fast,232.0,190.0,210.0,321.0,5337.916050454483,20.0,0.0037467805433727,246.57822310725783,29.4,36.8,1.6,230.0,3.0
